game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P9178499,Bigbie,,Spartanburg,ss,1,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P4608830,Roth,,Spartanburg,c,10,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P1389061,Crouch,,Spartanburg,p,11,4,0,,1,,,,,,,,,,,,,,,,,,,,3,4,,,,0,4,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P3043282,Wynne,,Spartanburg,2b,2,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P9270562,Thackham,,Spartanburg,cf,3,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P5198759,Springs,,Spartanburg,3b,4,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P1699175,Walker,,Spartanburg,lf,5,4,1,,3,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P5298514,Fairbanks,,Spartanburg,cf-3b,6,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P0547382,Gardin,,Spartanburg,rf,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P8976397,Bullock,,Spartanburg,1b,8,3,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,,11,1,1,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P4845693,Harrington,,Spartanburg,c,9,3,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,5,0,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,,TOTALS,,Spartanburg,,,32,1,,7,,,,,,,,,,,,8,1,,,,,,,,,,,,27,16,3,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P9496227,Midkiff,,Winston-Salem,ss,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P0918690,Templin,,Winston-Salem,2b,2,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P7712004,Brent,,Winston-Salem,lf,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P9825477,Fogarty,,Winston-Salem,cf,4,3,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,,2,0,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P3483120,McKevitt,,Winston-Salem,1b,5,3,0,,1,,,,,,,,1,,,,,,,,,,,,,,,,,7,1,0,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P2039836,Painter,,Winston-Salem,3b,6,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P8288153,Laval,,Winston-Salem,rf,7,2,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,0,,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P6658443,Moore,,Winston-Salem,c,8,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,P1266684,Reis,,Winston-Salem,p,9,3,0,,1,,,,,,,,,,,,,,,,,,,,3,10,,,,1,5,0,1,,,
HGGNYRT,1910,Carolina Association,1910-05-13,0,regular,,TOTALS,,Winston-Salem,,,29,0,,4,,,,,,,,,,,,6,1,,,,,,,,,,,,27,11,2,,,,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P5374085,Wehrell,,Anderson,cf,1,5,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,,4,0,0,,,,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P2993821,Finn,,Anderson,p,10,4,0,,0,,,,,,,,,,,,,,8.2,,,,,7,3,1,1,,,0,1,0,,,,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P4223045,Corbett,,Anderson,2b,2,5,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P0666603,Hartley,,Anderson,lf,3,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P9011763,Kelly,,Anderson,rf,4,4,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
VKNGRJR,1910,Carolina Association,1910-05-13,0,regular,P7452453,McCarthy,J.,Anderson,1b,5,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,,,,
